ALUNO,NOME_ALUNO,TURMA_PREF,SERIE,SIT,ALUNO_EMAIL,LEGAL_EMAIL
50230616,Levi Correia,EConAdm-3PMA,3,Pre-Mat,isabelly13@uol.com.br,jferreira@yahoo.com.br
50240816,Kamilly Vieira,EConAdm-2PMA,2,Pre-Mat,hnogueira@aragao.br,davicampos@hotmail.com
50240715,Nathan Farias,EConAdm-2PMA,2,Pre-Mat,vcarvalho@castro.br,lavinia34@oliveira.com
50250326,Sarah Ribeiro,EConAdm-1PMA,1,Pre-Mat,lunagoncalves@da.net,jesusana@lima.br
50250947,André Gomes,EConAdm-1PMB,1,Pre-Mat,teixeirabernardo@ig.com.br,natalia42@ig.com.br
50250900,Antônio Almeida,EConAdm-1PMB,1,Pre-Mat,emillycorreia@hotmail.com,castrorodrigo@das.br
50230908,Heitor Moraes,EConEletr-3PMA,3,Reserva,uda-cruz@yahoo.com.br,umonteiro@da.br
50250369,Agatha Correia,EConEletr-1PMA,1,Pre-Mat,da-luzgabriela@sales.br,xaragao@fogaca.net
50240153,Fernando Fogaça,EConInf-2PMA,2,Pre-Mat,alice30@gmail.com,luiz-henriquefogaca@vieira.com
50230552,João Felipe Sales,EConInf-3PMB,3,Pre-Mat,carolinaviana@fogaca.com,opeixoto@carvalho.org
50231005,João Lucas Pinto,ETecInf-3PMA,3,Pre-Mat,enrico64@yahoo.com.br,vitor-gabriel40@bol.com.br
50240624,Pedro Miguel Nascimento,EConAdm-2PMA,2,Pre-Mat,stellacastro@gmail.com,gabrielbarbosa@bol.com.br
50230879,Yuri Barros,EConAdm-3PMA,3,Pre-Mat,da-cruzana-carolina@novaes.com,pedro73@peixoto.com
50230780,Dra. Alexia Freitas,EConAdm-3PMA,3,Pre-Mat,laviniafarias@porto.com,ramosisabelly@ferreira.com
50230364,Kevin Martins,EConAdm-3PMA,3,Pre-Mat,carvalhojoao-miguel@dias.br,marcela14@cardoso.com
50240107,Srta. Maysa Viana,EConAdm-2PMB,2,Pre-Mat,augustoaraujo@bol.com.br,maria-sophia00@hotmail.com
50230942,Bernardo Gonçalves,EConEletr-3PMA,3,Pre-Mat,edas-neves@silveira.com,thomas93@hotmail.com
50240983,Pedro Lucas Santos,EConEletr-2PMA,2,Pre-Mat,calebe23@yahoo.com.br,da-rochaenzo@oliveira.net
50240518,Yuri Jesus,EConEletr-2PMA,2,Pre-Mat,crodrigues@hotmail.com,razevedo@ig.com.br
50250001,Srta. Maria Vitória Cunha,EConEletr-1PMA,1,Pre-Mat,danielmoreira@gmail.com,santosgabriela@bol.com.br
50240194,Sophia da Cruz,EConInf-2PMA,2,Pre-Mat,vitor-hugomoura@porto.org,da-rosaarthur@costela.br
50240382,Luigi da Cunha,EConAdm-2PMB,2,Pre-Mat,luiz-feliperodrigues@gmail.com,barbaracastro@yahoo.com.br
50250828,Levi das Neves,EConAdm-1PMA,1,Pre-Mat,pedro-lucascostela@teixeira.br,vfogaca@lima.br
50230782,Luiz Felipe Carvalho,EConAdm-3PMA,3,Pre-Mat,isabellasales@hotmail.com,kda-costa@uol.com.br
50250238,Larissa Oliveira,EConAdm-1PMB,1,Pre-Mat,ssilva@das.com,ian86@sales.com
50230125,Ana Beatriz Fogaça,EConAdm-3PMA,3,Pre-Mat,emanuel88@hotmail.com,davi-luiz91@hotmail.com
50240805,Lívia Moura,EConAdm-2PMB,2,Pre-Mat,gomeskamilly@nunes.com,lais71@uol.com.br
50230114,Rafaela Rocha,EConAdm-3PMA,3,Pre-Mat,costelaclarice@pereira.com,enzo-gabriel24@ribeiro.com
50250835,Heloísa Rocha,EConAdm-1PMB,1,Pre-Mat,wpeixoto@pires.br,vieiralucas-gabriel@dias.br
50230090,João Gabriel Correia,EConEletr-3PMA,3,Pre-Mat,da-rosaluiz-fernando@bol.com.br,emanuelly13@bol.com.br
50230502,Maria Luiza Caldeira,EConEletr-3PMA,3,Pre-Mat,costakevin@yahoo.com.br,goncalvesfernando@nunes.com
50240636,João Pedro Aragão,EConEletr-2PMA,2,Pre-Mat,adas-neves@freitas.br,da-luzmilena@novaes.com
50240263,Maria Vitória Ribeiro,EConInf-2PMD,2,Pre-Mat,tda-mota@ig.com.br,santosvinicius@gmail.com
50230104,João Vitor Cardoso,EConInf-3PMB,3,Pre-Mat,da-costapedro@da.com,gustavo-henrique88@teixeira.com
50240320,Matheus Correia,EConInf-2PMC,2,Pre-Mat,barrosgustavo-henrique@bol.com.br,bramos@gmail.com
50240510,Pietra Rocha,EConInf-2PMC,2,Pre-Mat,mariananunes@uol.com.br,luiz-felipe21@bol.com.br
50230158,Gustavo Henrique Caldeira,EConInf-3PMA,3,Pre-Mat,luiz-gustavocosta@gomes.com,gpeixoto@costa.org
50250307,Gustavo Martins,EConInf-1PMB,1,Pre-Mat,fsales@araujo.br,csales@hotmail.com
50250820,Rafael Barros,EConInf-1PMA,1,Pre-Mat,nda-costa@ig.com.br,moreiracarlos-eduardo@freitas.br
50250183,Maria Alice Duarte,EConInf-1PMA,1,Pre-Mat,raquelcastro@da.com,wmoreira@ig.com.br
50250131,André Rocha,EConInf-1PMA,1,Pre-Mat,pietro97@hotmail.com,correiaana-clara@farias.net
50230141,Sr. Noah Araújo,EConPub-3PMA,3,Pre-Mat,martinsjuliana@ribeiro.net,xcostela@ig.com.br
50230916,Sophie Rocha,EConPub-3PMA,3,Pre-Mat,mcostela@yahoo.com.br,hcampos@alves.com
50240428,Joaquim Fernandes,EConInf-2PMD,2,Pre-Mat,da-conceicaoraul@lima.com,joao-miguelsantos@da.br
50230178,André da Mata,EConInf-3PMA,3,Pre-Mat,miguelviana@novaes.br,lfernandes@gmail.com
50241018,Maria Cecília Teixeira,EConInf-2PMC,2,Pre-Mat,bazevedo@yahoo.com.br,jnascimento@da.com
50240899,Bruna Moura,EConInf-2PMD,2,Pre-Mat,vianaalice@carvalho.br,alexiasilveira@gmail.com
50250186,João Felipe Lopes,EConInf-1PMB,1,Pre-Mat,cunhanoah@da.com,carolinada-rocha@uol.com.br
50250520,Dr. Raul Gomes,EConInf-1PMC,1,Pre-Mat,orocha@ig.com.br,kramos@bol.com.br
50230163,Julia Peixoto,EConInf-3PMA,3,Pre-Mat,isabellycostela@pereira.com,pedro-henrique13@azevedo.br
50250485,Lorenzo Duarte,EConInf-1PMC,1,Pre-Mat,ccarvalho@das.net,mendesstephany@correia.com
50250005,Dra. Daniela Silveira,EConInf-1PMD,1,Pre-Mat,barbara18@gomes.net,antonio88@yahoo.com.br
50230328,Ana Julia Ferreira,EConInf-3PMD,3,Pre-Mat,isadora48@hotmail.com,joao-felipeoliveira@campos.org
50230776,Sr. Alexandre Vieira,EConInf-3PMA,3,Pre-Mat,livia51@moraes.org,nascimentoluiz-felipe@peixoto.com
50250210,Vitor Hugo Pires,EConInf-1PMC,1,Pre-Mat,theo58@costa.net,da-mataana-julia@hotmail.com
50240168,Dra. Isis Campos,EConInf-2PMA,2,Pre-Mat,cpinto@ig.com.br,theo94@sales.net
50230288,Beatriz Freitas,EConInf-3PMA,3,Pre-Mat,fgoncalves@yahoo.com.br,cardosodiogo@cunha.br
50230555,Esther Ferreira,EConInf-3PMB,3,Pre-Mat,jcarvalho@gmail.com,carlos-eduardo64@silva.br
50240255,Luiz Henrique Pinto,EConInf-2PMB,2,Pre-Mat,maria-cecilia84@jesus.net,noahrezende@bol.com.br
50230130,Mirella Fogaça,EConInf-3PMA,3,Pre-Mat,ferreiraian@yahoo.com.br,rda-rocha@uol.com.br
